Landingpage,Sitzungen,Neue Nutzer
/ferien/d/stadt/verden-aller,915,695
/ferien/d/stadt/biberach,914,775
/ferien/d/schule/23879-berufsbildungszentrum-moelln,910,581
/ferien/d/schule/04229-leipzig-international-school-schule-in-freier-traegerschaft,909,733
/ferien/d/stadt/gronau-westfalen,905,538
/ferien/d/stadt/landshut,905,680
/brueckentage/d/bundesland/schleswig-holstein/2021,898,829
/ferien/d/stadt/brandenburg-an-der-havel,893,746
/ferien/d/stadt/bocholt,876,652
/ferien/d/schule/10965-osz-lotis-logistik-touristik-und-steuern,867,398
/ferien/d/stadt/bremen,861,751
/ferien/d/schule/79576-gemeinschaftsschule-weil-am-rhein,855,643
/ferien/d/schule/24837-berufsbildungszentrum-schleswig,852,735
/ferien/d/schule/39124-neue-schule-magdeburg,850,656
/ferien/d/stadt/halle,848,685
/ferien/d/stadt/stendal,845,651
/ferien/d/stadt/sindelfingen,840,707
/ferien/d/stadt/bruchsal,837,722
/ferien/d/stadt/moers,830,637
/ferien/d/stadt/speyer,820,702
/ferien/d/stadt/kirchheim-unter-teck,816,724
/ferien/d/schule/88045-bodenseeschule-st-martin-freie-katholische-grund-und-werkrealschule,815,666
/ferien/d/stadt/weimar-he,815,668
/ferien/d/schule/10119-berlin-cosmopolitan-school,813,692
/ferien/d/stadt/peine,810,629
/ferien/d/schule/71277-gymnasium-rutesheim,809,706
/ferien/d/stadt/lippstadt,807,633
/ferien/d/schule/49090-igs-osnabrueck,804,658
/ferien/d/stadt/backnang,801,696
/ferien/d/stadt/frankenthal-pfalz,792,639
/ferien/d/stadt/weil-am-rhein,788,632
/ferien/d/schule/79837-kolleg-st-blasien-e-v-privates-gymnasium,783,683
/ferien/d/stadt/reinbek,781,440
/cities/79100-freiburg-im-breisgau,778,655
/ferien/d/stadt/bergen-auf-ruegen,776,670
/federal_states/niedersachsen,769,619
/ferien/d/bundesland/saarland/schulbeginn,769,696
/ferien/d/stadt/cloppenburg,769,590
/cities/76149-karlsruhe,767,679
/ferien/d/stadt/wangen-im-allgaeu,767,656
/ferien/d/stadt/muelheim-an-der-ruhr,765,612
/ferien/d/stadt/lingen,757,605
/ferien/d/stadt/schwaebisch-hall,756,647
/cities/38100-braunschweig,750,615
/ferien/d/stadt/emmendingen,743,604
/ferien/d/stadt/buxtehude,741,554
/ferien/d/schule/10785-franzoesisches-gymnasium,737,638
/cities/70376-stuttgart,735,651
/ferien/d/stadt/norden,728,632
/ferien/d/stadt/gladbeck,722,515
/ferien/d/stadt/alzey,719,561
/ferien/d/stadt/radolfzell-am-bodensee,719,628
/ferien/d/stadt/greifswald,715,559
/ferien/d/schule/49809-gesamtschule-emsland-lingen,713,589
/ferien/d/stadt/langeoog,709,635
/ferien/d/stadt/ruesselsheim,709,502
/ferien/d/schule/60488-lycee-francais-victor-hugo,707,589
/ferien/d/stadt/soltau,706,561
/ferien/d/stadt/neustadt-an-der-weinstrasse,699,548
/ferien/d/stadt/wyk-auf-foehr,691,594
/ferien/d/stadt/essen-oldenburg,690,550
/brueckentage/d/bundesland/rheinland-pfalz/2021,688,631
